"ngrams","freq","last"
"was going to ",73,"do"
"there are going ",73,"to"
"in his power ",73,"to"
"to the united ",73,"states"
"for the most ",73,"part"
"to terms with ",73,"the"
"i will be ",73,"there"
"if you have ",73,"a"
"most of the ",73,"time"
"to get back ",72,"on"
"one of the ",72,"more"
"are a lot ",72,"of"
"it would be ",72,"a"
"the two of ",72,"them"
"in the first ",72,"round"
"you have to ",71,"make"
"with the rest ",71,"of"
"as far as ",71,"i"
"is in the ",71,"works"
"theres a lot ",71,"of"
"the fact that ",71,"i"
"you dont have ",71,"to"
"i wish i ",70,"had"
"a couple of ",70,"weeks"
"the hall of ",70,"fame"
"it is difficult ",70,"to"
"has been charged ",70,"with"
"something to do ",70,"with"
"a lot of ",70,"different"
"died as a ",69,"result"
"charlie and the ",69,"chocolate"
"have been on ",69,"the"
"is little more ",69,"than"
"and the chocolate ",69,"factory"
"the end of ",69,"a"
"for at least ",69,"three"
"out of the ",69,"way"
"in the fourth ",69,"quarter"
"its a matter ",69,"of"
"of people who ",69,"are"
"the name of ",69,"the"
"dont want to ",68,"see"
"other side of ",68,"the"
"there are at ",68,"least"
"90 percent of ",68,"the"
"the department of ",68,"education"
"see if i ",68,"can"
"on the other ",68,"side"
"a few days ",68,"ago"
"open to the ",68,"public"
"to see a ",68,"doctor"
"despite the fact ",68,"that"
"are going to ",68,"go"
"in a way ",67,"that"
"far too early ",67,"to"
"a good time ",67,"for"
"i think he ",67,"should"
"in the game ",67,"and"
"under the influence ",67,"of"
"i wish i ",67,"could"
"driving under the ",67,"influence"
"to take over ",66,"the"
"a spokesman for ",66,"the"
"around the time ",66,"of"
"at least three ",66,"years"
"months of the ",66,"year"
"to know what ",66,"was"
"a variety of ",66,"ways"
"so far this ",66,"year"
"it one of ",66,"the"
"chairman of the ",66,"house"
"to the super ",66,"bowl"
"to him when ",66,"he"
"i was a ",66,"kid"
"my husband and ",66,"i"
"if this was ",66,"your"
"in the same ",66,"way"
"and you can ",66,"bet"
"some of the ",66,"best"
"millions of dollars ",66,"in"
"get back on ",66,"the"
"he knows how ",65,"to"
"we have to ",65,"get"
"the past three ",65,"years"
"that it would ",65,"be"
"in an interview ",65,"with"
"bank of america ",65,"is"
"of the san ",65,"francisco"
"in part because ",65,"of"
"that it is ",65,"a"
"three hours in ",65,"the"
"he was supposed ",65,"to"
"said in an ",65,"interview"
"have a great ",65,"weekend"
"in other words ",65,"were"
"for those of ",65,"you"
"the house and ",65,"senate"
"theres going to ",65,"be"
"in the region ",65,"and"
"have to do ",65,"with"
"might come in ",64,"handy"
"him when he ",64,"has"
"st joseph medical ",64,"center"
"this predicament wouldnt ",64,"you"
"to go back ",64,"to"
"contributed to this ",64,"report"
"with the bases ",64,"loaded"
"grace and mercy ",64,"shown"
"house financial services ",64,"committee"
"shown to him ",64,"when"
"become the man ",64,"he"
"father your grandfather ",64,"your"
"need an a ",64,"average"
"grandfather your uncle ",64,"who"
"has done everything ",64,"in"
"he has done ",64,"everything"
"i am at ",64,"peace"
"the lakers first ",64,"12"
"who knows what ",64,"the"
"uncle who was ",64,"in"
"power to change ",64,"and"
"the power to ",64,"choose"
"your son your ",64,"brother"
"predicament wouldnt you ",64,"want"
"your brother your ",64,"father"
"contributed to this ",64,"story"
"of the lakers ",64,"first"
"brother your father ",64,"your"
"on their cell ",64,"phone"
"in this predicament ",64,"wouldnt"
"lot of different ",64,"things"
"that had been ",64,"under"
"of 1 cent ",64,"for"
"in the wisconsin ",64,"case"
"lakers first 12 ",64,"points"
"six months or ",64,"more"
"your father your ",64,"grandfather"
"the first half ",64,"and"
"the man he ",64,"is"
"and become the ",64,"man"
"son your brother ",64,"your"
"going to go ",64,"through"
"an immediate end ",64,"to"
"at peace with ",64,"my"
"this was your ",64,"son"
"mercy shown to ",64,"him"
"want grace and ",64,"mercy"
"i look forward ",64,"to"
"includes three hours ",64,"in"
"and mercy shown ",64,"to"
"president barack obama ",64,"is"
"not to have ",64,"a"
"was in this ",64,"predicament"
"elected board would ",64,"be"
"seems to suggest ",64,"that"
"fresh for those ",64,"who"
"and the lack ",64,"of"
"of the united ",64,"states"
"when he has ",64,"done"
"the jobs the ",64,"jobs"
"your uncle who ",64,"was"
"your grandfather your ",64,"uncle"
"to the family ",64,"of"
"his power to ",64,"change"
"with health care ",64,"costs"
"you want grace ",64,"and"
"are expected to ",64,"be"
"or 09 percent ",64,"to"
"unlawful use of ",64,"a"
"am to 4 ",64,"pm"
"i think they ",64,"can"
"to change and ",64,"become"
"which includes three ",64,"hours"
"in 1000 for ",64,"women"
"change and become ",64,"the"
"the house financial ",64,"services"
"wouldnt you want ",64,"grace"
"going to be ",64,"as"
"was your son ",64,"your"
"made sense to ",64,"have"
"done everything in ",64,"his"
"am at peace ",64,"with"
"an elected board ",64,"would"
"man he is ",64,"today"
"who was in ",64,"this"
"it wasn’t enough ",64,"she"
"the no 1 ",63,"pick"
"the last time ",63,"i"
"if im having ",63,"a"
"a part of ",63,"the"
"the chicago police ",63,"department"
"but for all ",63,"of"
"county executive charlie ",63,"a"
"the nfc championship ",63,"game"
"to follow up ",63,"on"
"a call seeking ",63,"comment"
"more than 12 ",63,"years"
"nfc championship game ",63,"against"
"the next school ",63,"year"
"championship game against ",63,"the"
"is expected to ",63,"save"
"executive charlie a ",63,"dooley"
"with a hate ",63,"crime"
"who died as ",63,"a"
"hell be able ",63,"to"
"to start the ",63,"first"
"and is tied ",63,"for"
"the past 18 ",63,"years"
"lot of hard ",63,"work"
"to learn about ",63,"the"
"what we have ",63,"to"
"a lot of ",63,"hard"
"i can think ",63,"of"
"spent much of ",63,"his"
"of sexually assaulting ",63,"a"
"to be a ",63,"part"
"in the fifth ",63,"inning"
"the quality of ",63,"the"
"another part of ",63,"the"
"from a standpoint ",63,"of"
"and elsewhere in ",63,"the"
"for the past ",63,"18"
"know what was ",63,"going"
"much of his ",63,"career"
"just got to ",63,"keep"
"his past four ",62,"starts"
"in his past ",62,"four"
"to sign the ",62,"bill"
"have to do ",62,"some"
"for not fully ",62,"embracing"
"of the year ",62,"he"
"who wanted to ",62,"see"
"its net oil ",62,"export"
"for most of ",62,"the"
"was a resourceful ",62,"psycho"
"the edge of ",62,"the"
"against any further ",62,"discrimination"
"to save the ",62,"government"
"state is going ",62,"to"
"with three goals ",62,"in"
"louis and kansas ",62,"city"
"sense of humor ",62,"and"
"on friday with ",62,"the"
"of a motor ",62,"vehicle"
"a superior court ",62,"judge"
"an area hospital ",62,"with"
"from his home ",62,"in"
"them have to ",62,"do"
"year will set ",62,"up"
"use of a ",62,"motor"
"said in an ",62,"email"
"hospital with nonlifethreatening ",62,"injuries"
"in an email ",62,"to"
"his state political ",62,"account"
"in st louis ",62,"county"
"secretary of higher ",62,"education"
"of the navy ",62,"and"
"a small village ",62,"in"
"according to a ",62,"report"
"quarles was a ",62,"resourceful"
"assistant director of ",62,"the"
"to section 528 ",62,"status"
"mental and physical ",62,"health"
"st louis and ",62,"kansas"
"to keep up ",62,"with"
"birthday fall on ",62,"a"
"came from the ",62,"usual"
"�none of them ",62,"have"
"to hear from ",62,"you"
"had a 7percentagepoint ",62,"lead"
"weve got to ",62,"be"
"to an area ",62,"hospital"
"in the army ",62,"in"
"the lack of ",62,"a"
"that if the ",62,"board"
"net oil export ",62,"revenue"
"having to do ",62,"with"
"more than a ",62,"year"
"this time of ",62,"year"
"the department of ",62,"state"
"with nonlifethreatening injuries ",62,"and"
"if you would ",62,"like"
"area hospital with ",62,"nonlifethreatening"
"of its net ",62,"oil"
"fall on a ",62,"weekend"
"of them have ",62,"to"
"class is limited ",62,"to"
"in the age ",62,"of"
"used to make ",62,"carpets"
"former director of ",62,"the"
"public and private ",62,"schools"
"was not immediately ",62,"returned"
"a long way ",62,"in"
"a 7percentagepoint lead ",62,"among"
"not fully embracing ",62,"turkey"
"had a great ",61,"time"
"i just want ",61,"to"
"i thought it ",61,"was"
"to see if ",61,"i"
"rest of the ",60,"world"
"a few weeks ",60,"ago"
"a lot of ",59,"things"
"get out of ",59,"the"
"the majority of ",59,"the"
"we look forward ",59,"to"
"there is a ",59,"lot"
"the vast majority ",59,"of"
"but it was ",59,"a"
"hope to see ",59,"you"
"a lot of ",59,"fun"
"i went to ",58,"the"
"the back of ",58,"the"
"i dont know ",58,"if"
"i think it ",58,"is"
"at the time ",58,"of"
"but i am ",57,"not"
"i wanted to ",57,"be"
"has a lot ",57,"of"
"a couple of ",57,"times"
"is part of ",57,"the"
"was going to ",57,"be"
"it is not ",56,"a"
"as well as ",56,"a"
"thank you for ",56,"your"
"the only thing ",56,"i"
"the back of ",56,"my"
"come up with ",56,"a"
"in the form ",56,"of"
"the last couple ",56,"of"
"that it is ",55,"the"
"for all of ",55,"the"
"keep in mind ",55,"that"
"it would have ",55,"been"
"do you have ",55,"any"
"have a great ",55,"day"
"the most important ",55,"thing"
"out of the ",55,"house"
"not going to ",55,"be"
"as soon as ",54,"possible"
"not being able ",54,"to"
"i thought i ",54,"would"
"south carolina mortgage ",54,"refinancing"
"as part of ",54,"a"
"with the exception ",54,"of"
"the south carolina ",54,"mortgage"
"there are a ",54,"number"
"to figure out ",54,"what"
"in the next ",54,"few"
"felt like i ",54,"was"
"in a state ",54,"of"
"it will be ",54,"a"
"all of the ",54,"time"
"you need to ",54,"do"
"both sides of ",54,"the"
"are a number ",54,"of"
"to do with ",53,"it"
"did a lot ",53,"of"
"so i decided ",53,"to"
"nothing to do ",53,"with"
"there will be ",53,"a"
"feel the need ",53,"to"
"is made up ",53,"of"
"on a daily ",53,"basis"
"one of the ",53,"reasons"
"in a large ",53,"bowl"
"a pain in ",53,"the"
"most of the ",53,"day"
"at the age ",53,"of"
"would be a ",52,"good"
"but that is ",52,"not"
"like the idea ",52,"of"
"but it will ",52,"be"
"the past few ",52,"weeks"
"in the right ",52,"direction"
"not to mention ",52,"the"
"i am not ",52,"going"
"there are a ",52,"few"
"be a lot ",52,"of"
"did not want ",52,"to"
"a few months ",51,"ago"
"at the bottom ",51,"of"
"i dont know ",51,"why"
"that this was ",51,"a"
"that there is ",51,"a"
"did you know ",51,"that"
"the problem is ",51,"that"
"a whole lot ",51,"of"
"to go along ",51,"with"
"you are in ",51,"the"
"you don’t have ",50,"to"
"the right side ",50,"of"
"let me know ",50,"if"
"a couple of ",50,"months"
"on the part ",50,"of"
"am not going ",50,"to"
"i think it ",50,"was"
"as long as ",50,"it"
"on some of ",50,"the"
"with a bunch ",50,"of"
"there are plenty ",50,"of"
"i dont even ",50,"know"
"have a couple ",50,"of"
"we were able ",50,"to"
"have the ability ",50,"to"
"are part of ",49,"the"
"at the heart ",49,"of"
"to make up ",49,"for"
"it will be ",49,"the"
"has been one ",49,"of"
"with the help ",49,"of"
"there will be ",49,"more"
"this is the ",49,"only"
"looking forward to ",49,"the"
"get a chance ",49,"to"
"to talk about ",49,"the"
"going to take ",49,"a"
"those of you ",49,"who"
"on the back ",49,"of"
"on both sides ",49,"of"
"in the interest ",49,"of"
"in the center ",48,"of"
"he was trying ",48,"to"
"on my way ",48,"to"
"you can see ",48,"the"
"to all of ",48,"the"
"was the first ",48,"time"
"you might want ",48,"to"
"i dont know ",48,"about"
"on the same ",48,"day"
"i was trying ",48,"to"
"on the way ",48,"to"
"at the last ",48,"minute"
"and i have ",48,"to"
"in new york ",48,"and"
"what to do ",48,"with"
"a lot of ",48,"stuff"
"the heart of ",48,"the"
"are going to ",48,"get"
"that i will ",48,"be"
"had a good ",48,"time"
"for a little ",48,"while"
"to be a ",48,"good"
"i don’t want ",48,"to"
"im not sure ",47,"what"
"are the ones ",47,"who"
"a wide variety ",47,"of"
"that is not ",47,"the"
"it has been ",47,"a"
"in the end ",47,"it"
"keep up with ",47,"the"
"with a pair ",47,"of"
"that this is ",47,"the"
"to learn how ",47,"to"
"i had a ",47,"lot"
"wanted to know ",47,"what"
"a great example ",47,"of"
"it was time ",47,"to"
"the first day ",47,"of"
"was looking for ",47,"a"
"and there was ",47,"no"
"a wide range ",47,"of"
"in the face ",47,"of"
"i felt like ",47,"i"
"end of the ",47,"year"
"at some of ",47,"the"
"there will always ",47,"be"
"thanks for the ",47,"ff"
"dont want to ",47,"go"
"the same time ",47,"the"
"more than any ",47,"other"
"that was going ",47,"to"
"to take advantage ",47,"of"
"you want to ",46,"be"
"look at some ",46,"of"
"what i would ",46,"do"
"its a good ",46,"thing"
"the rest of ",46,"my"
"you will be ",46,"able"
"take part in ",46,"the"
"fell in love ",46,"with"
"are you going ",46,"to"
"do not want ",46,"to"
"you are in ",46,"a"
"the other day ",46,"i"
"be able to ",46,"make"
"who we are ",46,"and"
"is not an ",46,"option"
"not be able ",46,"to"
"you might as ",46,"well"
"to the extent ",46,"that"
"nothing more than ",46,"a"
"this is going ",46,"to"
"the owner of ",46,"the"
"do you want ",46,"to"
"as soon as ",46,"i"
"with some of ",46,"the"
"but i wanted ",45,"to"
"is not a ",45,"good"
"all you need ",45,"to"
"i can do ",45,"it"
"those who want ",45,"to"
"i dont know ",45,"how"
"please let me ",45,"know"
"have the right ",45,"to"
"dont have to ",45,"be"
"the best place ",45,"to"
"youre not going ",45,"to"
"over the past ",45,"few"
"and it has ",45,"been"
"the other hand ",45,"the"
"it is hard ",45,"to"
"it was a ",45,"little"
"in one of ",45,"the"
"being one of ",45,"the"
"for the future ",45,"of"
"while at the ",45,"same"
"im going to ",45,"be"
"once in a ",45,"while"
"that part of ",45,"the"
"part of the ",44,"country"
"at least once ",44,"a"
"some of the ",44,"more"
"we are trying ",44,"to"
"am i going ",44,"to"
"you can get ",44,"a"
"to the bottom ",44,"of"
"the hands of ",44,"a"
"to share with ",44,"you"
"had no idea ",44,"what"
"dont know what ",44,"i"
"is the first ",44,"time"
"it out of ",44,"the"
"to go in ",44,"the"
"the past two ",44,"weeks"
"if youd like ",44,"to"
"is going to ",44,"get"
"i going to ",44,"do"
"up and down ",44,"the"
"for the second ",44,"time"
"do a better ",44,"job"
"right now we ",44,"are"
"the future of ",44,"the"
"one of the ",44,"few"
"far as i ",43,"know"
"that we are ",43,"not"
"this is the ",43,"best"
"would not have ",43,"been"
"to go with ",43,"the"
"there is no ",43,"doubt"
"that is the ",43,"case"
"for at least ",43,"a"
"people who are ",43,"not"
"and i think ",43,"the"
"across the street ",43,"from"
"in the long ",43,"run"
"had to take ",43,"a"
"is the best ",43,"way"
"at one of ",43,"the"
"of the world ",43,"that"
"as an example ",43,"of"
"be found on ",43,"the"
"some of the ",43,"most"
"in the middle ",43,"east"
"is going to ",43,"take"
"do you know ",43,"how"
"and that is ",43,"what"
"have something to ",43,"do"
"to be used ",43,"for"
"you so much ",43,"for"
"the role of ",43,"the"
"the only one ",43,"that"
"we dont have ",43,"a"
"more than happy ",43,"to"
"for the sake ",43,"of"
"came up with ",43,"a"
"what happened to ",43,"the"
"with a variety ",43,"of"
"the ceiling of ",43,"the"
"over the last ",43,"two"
"as you can ",43,"see"
"the best in ",43,"the"
"in the back ",43,"of"
"have a good ",43,"time"
"over a period ",43,"of"
"know what i ",42,"would"
"in high school ",42,"i"
"front of the ",42,"house"
"up to 3 ",42,"days"
"hundreds of thousands ",42,"of"
"a big part ",42,"of"
"its not going ",42,"to"
"i have to ",42,"admit"
"thanks so much ",42,"for"
"it would be ",42,"the"
"youre going to ",42,"be"
"used to be ",42,"a"
"out on the ",42,"road"
"in the process ",42,"of"
"that sort of ",42,"thing"
"the past couple ",42,"of"
"to be in ",42,"the"
"this part of ",42,"the"
"husband and i ",42,"were"
"problem is that ",42,"the"
"of the time ",42,"but"
"that it is ",42,"not"
"i dont feel ",42,"like"
"the first time ",42,"with"
"be the only ",42,"one"
"in the second ",42,"half"
"at the beginning ",42,"of"
"as a result ",42,"the"
"important to note ",42,"that"
"on the right ",42,"side"
"in the direction ",42,"of"
"rest of the ",42,"season"
"of the year ",42,"in"
"all the way ",42,"back"
"how many times ",42,"i"
"the founder of ",42,"the"
"in the city ",42,"of"
"meant to be ",42,"a"
"can be found ",42,"on"
"you will have ",42,"to"
"im just going ",42,"to"
"right side of ",42,"the"
"no matter what ",41,"i"
"the rest of ",41,"his"
"to keep track ",41,"of"
"the title of ",41,"the"
"to do a ",41,"lot"
"and it would ",41,"be"
"along the way ",41,"i"
"to be a ",41,"lot"
"it was the ",41,"best"
"people out there ",41,"who"
"one of my ",41,"favourite"
"this has been ",41,"a"
"a report on ",41,"the"
"to great lengths ",41,"to"
"in the white ",41,"house"
"to try and ",41,"get"
"to be a ",41,"fun"
"and he told ",41,"me"
"bottom of the ",41,"page"
"it was such ",41,"a"
"have no idea ",41,"how"
"but the truth ",41,"is"
"to reach out ",41,"to"
"with a couple ",41,"of"
"ended up in ",41,"the"
"the years has ",41,"been"
"to make sure ",41,"the"
"the united states ",41,"in"
"i needed to ",41,"use"
"the reality is ",41,"that"
"the rest of ",41,"this"
"one is going ",41,"to"
"can be seen ",41,"in"
"in the wake ",41,"of"
"for a way ",41,"to"
"would be a ",41,"lot"
"to get close ",41,"to"
"he said he ",41,"would"
"to the house ",41,"and"
"over the last ",41,"year"
"all the time ",41,"and"
"and the fact ",41,"that"
"later in the ",41,"day"
"to say about ",41,"the"
"will be one ",41,"of"
"i dont think ",41,"its"
"the last two ",41,"months"
"no one has ",41,"ever"
"the same time ",41,"as"
"one of the ",41,"things"
"over the years ",41,"has"
"that he had ",41,"been"
"learn more about ",40,"the"
"took a long ",40,"time"
"have to get ",40,"the"
"i was in ",40,"the"
"in order to ",40,"get"
"to get them ",40,"to"
"not to have ",40,"to"
"there was no ",40,"one"
"i have all ",40,"the"
"if any of ",40,"you"
"is the ability ",40,"to"
"not a fan ",40,"of"
"he wanted me ",40,"to"
"the most difficult ",40,"part"
"to make it ",40,"to"
"time when i ",40,"was"
"so it was ",40,"a"
"by the way ",40,"is"
"in love with ",40,"a"
"if it werent ",40,"for"
"has been involved ",40,"in"
"the side of ",40,"the"
"in my living ",40,"room"
"and of course ",40,"there"
"i said i ",40,"was"
"it would be ",40,"good"
"of these people ",40,"are"
"it would be ",40,"great"
"when i first ",40,"heard"
"a long time ",40,"to"
"part of the ",40,"problem"
"will be available ",40,"for"
"not only to ",40,"the"
"im not sure ",40,"if"
"more than just ",40,"a"
"was more interested ",40,"in"
"can do to ",40,"help"
"the story of ",40,"how"
"is the only ",40,"way"
"but the rest ",40,"of"
"i thought it ",40,"might"
"i dont think ",40,"we"
"middle of the ",40,"night"
"is one of ",40,"my"
"you listen to ",40,"the"
"thats one of ",40,"the"
"need to do ",40,"to"
"if you are ",40,"a"
"that he would ",40,"be"
"thought it might ",40,"be"
"part of the ",40,"world"
"a really long ",40,"time"
"it is the ",40,"most"
"of the year ",40,"and"
"to make it ",40,"a"
"to get in ",40,"on"
"because he is ",40,"a"
"i am so ",40,"very"
"have a hard ",40,"time"
"thanks for the ",40,"mention"
"one of my ",40,"friends"
"not be allowed ",40,"to"
"if that is ",40,"the"
"i really want ",40,"to"
"the opposite of ",40,"what"
"to stand up ",40,"for"
"all over the ",40,"world"
"and wanted to ",40,"know"
"to the front ",40,"of"
"to go with ",40,"a"
"a picture of ",40,"a"
"in the bottom ",39,"of"
"in the near ",39,"future"
"the last two ",39,"days"
"to say it ",39,"was"
"and you don’t ",39,"have"
"make a difference ",39,"in"
"got out of ",39,"the"
"only a couple ",39,"of"
"for you to ",39,"play"
"on the flip ",39,"side"
"over the next ",39,"week"
"there is a ",39,"little"
"but i have ",39,"to"
"to sign up ",39,"for"
"is likely to ",39,"be"
"over and over ",39,"and"
"one of the ",39,"first"
"the rest of ",39,"us"
"the way back ",39,"to"
"if they want ",39,"to"
"over and over ",39,"again"
"a girl and ",39,"her"
"on the west ",39,"side"
"that he wanted ",39,"to"
"and i thought ",39,"it"
"i just wanted ",39,"to"
"to pay for ",39,"the"
"it would probably ",39,"be"
"if you’re looking ",39,"for"
"that he will ",39,"be"
"over the last ",39,"couple"
"you really need ",39,"to"
"to keep in ",39,"mind"
"subject is respect ",39,"versus"
"in the us ",39,"army"
"and a number ",39,"of"
"make up for ",39,"it"
"reminds me of ",39,"my"
"top of the ",39,"list"
"of his way ",39,"to"
"to have a ",39,"good"
"the boys and ",39,"girls"
"i wanted to ",39,"know"
"said it would ",39,"be"
"to get on ",39,"the"
"around the corner ",39,"and"
"take a look ",39,"at"
"there were a ",39,"lot"
"he was ready ",39,"to"
"to do it ",39,"i"
"think he should ",39,"be"
"to make an ",39,"impact"
"there is a ",39,"certain"
"one of the ",39,"people"
"of the way ",39,"through"
"are trying to ",39,"make"
"of course there ",39,"is"
"he was also ",39,"a"
"i can do ",39,"is"
"its great to ",39,"be"
"to figure out ",39,"how"
"out of his ",39,"way"
"for the purpose ",39,"of"
"happen in the ",39,"future"
"out to be ",39,"a"
"be a good ",39,"time"
"that they need ",39,"to"
"on the weekend ",38,"i"
"we need to ",38,"understand"
"have to make ",38,"sure"
"a reference to ",38,"the"
"day i went ",38,"to"
"this is part ",38,"of"
"to the best ",38,"of"
"to the success ",38,"of"
"a black and ",38,"white"
"with the best ",38,"of"
"but here are ",38,"some"
"in search of ",38,"the"
"to a certain ",38,"point"
"years ago it ",38,"was"
"than meets the ",38,"eye"
"is seen as ",38,"the"
"the time it ",38,"takes"
"in the summer ",38,"of"
"the world a ",38,"better"
"world a better ",38,"place"
"all of which ",38,"are"
"i have a ",38,"few"
"got back to ",38,"the"
"for at least ",38,"one"
"this might be ",38,"a"
"the same day ",38,"and"
"to find out ",38,"if"
"to break out ",38,"of"
"that at some ",38,"point"
"the time when ",38,"the"
"they need to ",38,"help"
"we have a ",38,"lot"
"turns out it ",38,"was"
"a lot of ",38,"time"
"to come up ",38,"with"
"my mother used ",38,"to"
"hope for the ",38,"future"
"make the world ",38,"a"
"need to understand ",38,"that"
"he did not ",38,"believe"
"out of all ",38,"the"
"most if not ",38,"all"
"at least a ",38,"year"
"to make the ",38,"world"
"as well as ",38,"his"
"to hear more ",38,"about"
"it took a ",38,"long"
"by the time ",38,"she"
"i got tired ",38,"of"
"i love my ",38,"job"
"a labor of ",38,"love"
"will continue to ",38,"be"
"to work with ",38,"you"
"say it was ",38,"a"
"with the last ",38,"of"
"in the world ",38,"but"
"the time in ",38,"the"
"get close to ",38,"the"
"as a whole ",38,"has"
"this is not ",38,"to"
"of the season ",38,"and"
"as a reminder ",38,"that"
"the difference between ",38,"a"
"of a couple ",38,"of"
"was being held ",38,"in"
"these are the ",38,"people"
"told him i ",38,"was"
"in the house ",38,"and"
"and not just ",38,"because"
"in the past ",38,"but"
"the formation of ",38,"a"
"they have in ",38,"common"
"a break from ",38,"the"
"because one of ",38,"the"
"nothing to worry ",38,"about"
"be seen as ",38,"a"
"me and put ",38,"me"
"a huge part ",38,"of"
"of the south ",38,"carolina"
"towards the end ",38,"of"
"were a lot ",38,"of"
"as opposed to ",38,"the"
"it is a ",38,"major"
"when i got ",38,"my"
"need to worry ",38,"about"
"when you look ",38,"at"
"there would be ",38,"a"
"are the result ",38,"of"
"the status of ",37,"the"
"tens of millions ",37,"of"
"for a little ",37,"more"
"the first time ",37,"that"
"one of the ",37,"strongest"
"hear more about ",37,"the"
"this is the ",37,"second"
"of the center ",37,"for"
"to the us ",37,"from"
"goes a long ",37,"way"
"coming to terms ",37,"with"
"if he had ",37,"to"
"the style of ",37,"the"
"attorney general eric ",37,"holder"
"to say that ",37,"you"
"i would do ",37,"without"
"make you feel ",37,"better"
"is not to ",37,"say"
"is a photo ",37,"of"
"an attempt to ",37,"make"
"to look at ",37,"her"
"if he wanted ",37,"to"
"take the place ",37,"of"
"be as good ",37,"as"
"her way out ",37,"of"
"seemed to have ",37,"a"
"it was a ",37,"sign"
"would be one ",37,"of"
