"ngram","target","top","accuracy"
"votes in the republican ","nomination","party",NA
"durufles masterpiece performing a ","lesserknown","lot",NA
"recently held a tworace ","weekend","NA",NA
"much of a stir ","at","in",NA
"want to spike it ","add","was",NA
"but would eventually change ","it","the",NA
"fourtime champion didnt look ","like","at","2"
"a major goal when ","he","i",NA
"rescheduled from friday evening ","to","that",NA
"cacao l — theobroma ","means","NA",NA
"people are missing on ","the","the","1"
"inning down there brothers ","said","and",NA
"google also will donate ","a","to",NA
"rankings the nonconference battle ","was","with",NA
"economic development director said ","market","the",NA
"beans to make one ","pound","of",NA
"in large veins usually ","in","dont",NA
"a return to the ","minors","first",NA
"to win the final ","two","four",NA
"in queens — to ","new","the",NA
"no one who has ","worked","been",NA
"recorded interview he reiterated ","that","NA",NA
"months sales chief don ","johnson","barksdale",NA
"at durufles masterpiece performing ","a","the",NA
"us would have been ","better","a",NA
"two weeks after he ","appeared","was",NA
"woods a fourtime champion ","didnt","in",NA
"off first as the ","thunderbolts","first",NA
"bollwage said the owner’s ","of","NA",NA
"corrected rackner who suggested ","that","that","1"
"for solo organ but ","the","i","2"
"38 and 43yearold dallasarea ","residents","NA",NA
"work i think its ","a","a","1"
"achieved key because all ","kids","the",NA
"to the medical staff ","and","and","1"
"weekend featuring a nationwide ","and","to",NA
"be made to improve ","the","the","1"
"thrombosis and pulmonary embolism ","and","NA",NA
"countries that use the ","euro","first",NA
"decided that my job ","was","of",NA
"evidence yet that tanning ","bed","NA",NA
"store or the spice ","aisle","cabinet",NA
"vein thrombosis and pulmonary ","embolism","lung",NA
"for a slew of ","violations","the",NA
"sales chief don johnson ","said","said","1"
"a boy with blue ","hair","cheese",NA
"23 at 7 am ","while","i",NA
"doesnt have to weigh ","your","in",NA
"she was never satisfied ","or","with",NA
"will be the subject ","of","to","2"
"paying for demolition equipment ","to","and",NA
"exactly when it did ","a","not","3"
"start brayden schenn claude ","giroux","giroux","1"
"more miles he loved ","it","it","1"
"project when vistancia was ","being","a",NA
"on the ice to ","start","the",NA
"2 quarts of cider ","be","and",NA
"and high unemployment led ","to","to","1"
"a permit from the ","pennsylvania","first",NA
"club was fined 3000 ","for","and",NA
"the year listed if ","they","you",NA
"with good apple cider ","if","and",NA
"bunch corrected rackner who ","suggested","is",NA
"door bugs can get ","in","a",NA
"portfolio of trucks and ","fuelefficient","the",NA
"the national championship games ","and","and","1"
"chevrolet cruze chevrolet equinox ","and","NA",NA
"similar request calling it ","premature","was",NA
"after he appeared back ","to","to","1"
"had avoided doing so ","because","i",NA
"when michael conforto sharply ","singled","defensive",NA
"whether changes need to ","be","the","2"
"when everyone – marc ","included","klein",NA
"remain the same at ","341","the",NA
"water contractor removes a ","75ton","lot",NA
"but not the 2 ","percent","pm",NA
"first votes in the ","republican","first",NA
"in october and november ","and","was",NA
"said dipoto who was ","hired","a",NA
"until the year listed ","a","as",NA
"dont have steady access ","to","to","1"
"using only his predictive ","analytical","NA",NA
"improving transportation for students ","was","to",NA
"longdelayed proposal to limit ","greenhouse","to",NA
"was a major goal ","when","of",NA
"last month tuition would ","increase","be",NA
"the idea that play ","and","in",NA
"a temporary restraining order ","to","to","1"
"conditions triggered the changes ","as","in",NA
"living with his father ","no","and",NA
"comment in a dozen ","meetings","of",NA
"when you are in ","the","the","1"
"have a relationship with ","god","the",NA
"321 erin dr 137000 ","i","NA",NA
"36 63 76 3 ","i","days","2"
